ra,dec,koi_prad,koi_depth,koi_period,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,mission
238.8197061,-21.0269691,2.71,0.0808,23.446501,,5484.0,,0.87,,k2
183.7514959,-5.7820178,0.935,0.0099,0.3652575,2432.0,5334.0,4.45,0.86,0.89,k2
130.082542,18.6929046,2.93,0.0753,5.749481,,,,0.765,,k2
169.4490102,3.8665038,3.12,0.1545,5.3410507,,4953.0,4.598,0.726,0.81,k2
67.4128615,22.8825674,3.14,,17.30681,,4359.0,4.537,0.723,0.686,k2
169.4490102,3.8665038,2.8,,5.34059,793.0,4924.0,4.65,0.74,0.8,k2
123.1361518,13.6884986,2.25,0.0202,11.0213,,,,1.507,,k2
172.3353708,-1.4551364,1.52,,44.5631,,3896.0,,0.561,0.601,k2
288.0267612,-21.0075789,2.05816745,,16.035054,,4661.0,4.66,0.645652,,k2
129.1299193,10.1472175,1.56,,3.793306,543.0,3669.0,4.86,0.41,0.43,k2
353.4175668,-7.6120272,0.7599,,0.8094,,4116.0,4.656,0.7,0.808,k2
70.4438684,16.6743415,2.597,,4.803352,,5007.0,4.628,0.783,0.952,k2
355.6304152,-9.7135814,2.184,,8.584043,,5782.0,4.273,1.084,0.802,k2
169.4490102,3.8665038,1.291,,1.422586,1200.0,4836.0,4.55,0.717,0.76,k2
172.3353708,-1.4551364,1.582,,24.646729,371.8,3844.0,4.704,0.546,0.549,k2
204.0355092,-14.0092516,1.54,,4.163873,1158.0,5789.0,4.39,1.04,0.98,k2
288.0267612,-21.0075789,,,16.0382,,4710.0,,0.62,,k2
358.6390056,-4.7233362,2.4,,138.0731,411.0,5784.0,4.32,1.147,1.013,k2
358.6390056,-4.7233362,0.91,,10.6413,968.0,5784.0,4.32,1.147,1.013,k2
172.3353708,-1.4551364,1.65,,44.55764,,3835.0,4.66,0.6,0.62,k2
135.8832666,14.2504994,2.2,,17.70632,266.0,3315.0,4.97,0.28,0.27,k2
351.7717763,-1.2853435,,,1.2089749,,4255.0,4.7,0.651,0.659,k2
129.3896679,16.5220648,2.47,0.0314,12.2812,,,,1.323,,k2
240.0333095,-23.1894196,1.64,,4.01628,,5758.0,4.364,1.12,1.08,k2
182.751404,-9.7652392,1.69,,0.3693038,2223.0,5120.0,,0.7595,0.803,k2
130.2596625,14.6902225,2.79551948,,52.714072,,,,,,k2
355.6304152,-9.7135814,2.118,,8.583566,,5782.0,4.273,1.084,0.802,k2
188.3864277,-10.1462141,,,5.7214742,,4425.0,4.633,0.67,0.683,k2
202.0161895,-15.9379749,,0.0322,6.327,,5673.0,4.46318,0.975383,1.008,k2
230.8872242,-25.3706149,4.602,,22.549406,,5784.0,4.374,0.961,0.798,k2
329.7262534,-10.8750666,1.217,0.0174,5.76218,,,,0.868,,k2
351.7717763,-1.2853435,1.13,,3.648103,715.94,4236.0,4.719,0.58,0.62,k2
288.0267612,-21.0075789,2.05,0.0947,16.0343,,,,0.616,,k2
172.3353708,-1.4551364,1.72,,24.6454,,3896.0,4.72,0.561,0.601,k2
337.6178427,-7.972456,2.094,,17.515472,,4752.0,4.596,0.758,0.832,k2
134.2021746,21.5026882,2.0,0.147,2.78711,,,,0.507,,k2
8.7401487,4.3807215,2.74,,29.84622,548.0,5286.0,4.51,0.835,0.877,k2
174.9602543,0.603596,7.0,,7.9193,,5322.0,4.51,0.82,0.88,k2
205.4445125,-10.8625468,2.31,0.0506,23.2259,,,,0.9757,,k2
358.6390056,-4.7233362,2.42,,36.57669,641.0,5784.0,4.32,1.147,1.013,k2
350.9170464,-1.1891827,1.51,,0.2803244,,4599.0,4.62,0.681,0.708,k2
129.6894456,23.6852651,2.884,,15.611,911.0,6252.6,4.372,1.22,1.2,k2
16.4625203,11.7537171,2.39,,15.387063,801.0,6058.0,4.37,1.09,1.0,k2
351.6361913,-4.6066569,1.219,,4.3696,,4343.0,4.621,0.732,0.814,k2
55.2559307,13.5191871,3.69,,10.99573,,5926.0,4.249,1.28,1.06,k2
59.8903081,21.2985263,1.82,,5.3518,1309.0,5775.0,,1.25,0.84,k2
133.7094899,11.8482712,2.14,0.081,9.325429,,,,0.713,,k2
20.4998403,0.7509701,1.78,0.437,13.62757,,,,0.257,,k2
70.4438684,16.6743415,3.395,,8.491282,,5007.0,4.628,0.783,0.952,k2
99.3805518,26.7864507,61.0,3.1311,12.866412,,,,1.642,,k2
172.3353708,-1.4551364,1.9,0.0916,24.645013,,3927.0,,0.58,,k2
8.7401487,4.3807215,,,8.4783,859.5,5300.0,4.47,0.871,0.852,k2
71.110002,16.5185817,1.92318,0.0714,5.0957983,643.0,4197.0,4.56,0.7,,k2
67.4128615,22.8825674,2.91,,17.307137,425.0,4499.0,4.66,0.66,0.74,k2
283.0317641,-27.1807287,1.4,0.0383,14.1297,,,,0.69,,k2
288.0267612,-21.0075789,0.94,0.0209,7.9388,,,,0.616,,k2
71.9316438,19.8490823,0.9532,,3.1764,,4434.0,4.631,0.741,0.861,k2
